Type,Date,Latitude,Longitude,Gender,Age_range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Outcome,Removal of more than just outer clothing
Person search,2021-12-02T04:08:09+00:00,53.634211,-3.014348,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person search,2021-12-02T07:49:32+00:00,53.412172,-2.973008,Male,over 34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-02T07:57:05+00:00,53.404563,-2.982401,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-02T07:59:17+00:00,53.404563,-2.982401,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-02T08:13:15+00:00,53.412172,-2.973008,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Arrest,False
Person and Vehicle search,2021-12-02T08:13:18+00:00,53.452527,-2.7318759999999997,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-02T08:16:20+00:00,53.409277,-2.978599,Male,18-24,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-02T08:47:44+00:00,53.305645999999996,-2.948163,Male,25-34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-02T09:36:53+00:00,53.422341,-2.95601,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person search,2021-12-02T09:53:59+00:00,53.480361,-2.88289,Male,25-34,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person search,2021-12-02T11:17:48+00:00,53.411775,-2.987472,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-02T11:20:46+00:00,53.411775,-2.987472,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-02T11:22:38+00:00,53.411775,-2.987472,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-02T11:26:07+00:00,53.650014,-3.003546,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
