Type,Date,Latitude,Longitude,Gender,Age_range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Outcome,Removal of more than just outer clothing
Person search,2021-12-15T01:52:58+00:00,53.39283399999999,-2.93407,Male,over 34,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person and Vehicle search,2021-12-15T01:55:10+00:00,53.384508999999994,-3.02088,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-15T02:19:16+00:00,53.388077,-3.030303,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-15T02:31:55+00:00,53.41165,-2.960886,Male,over 34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-15T02:41:31+00:00,53.41261,-2.921234,Male,25-34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Arrest,False
Person and Vehicle search,2021-12-15T02:48:58+00:00,53.644156,-3.012877,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-15T02:51:26+00:00,53.425766,-2.988052,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-15T02:58:43+00:00,53.515139000000005,-2.955173,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-15T03:03:17+00:00,53.482071,-2.889842,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person search,2021-12-15T03:06:42+00:00,53.644156,-3.012877,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-15T03:31:24+00:00,53.386426,-3.029,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person and Vehicle search,2021-12-15T03:33:22+00:00,53.41686899999999,-2.986732,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Summons / charged by post,False
Person search,2021-12-15T03:47:21+00:00,53.400743000000006,-2.941042,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-15T03:58:36+00:00,53.404576,-2.947429,Male,25-34,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-15T05:33:10+00:00,53.413872,-2.97398,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person and Vehicle search,2021-12-15T08:27:38+00:00,53.496314,-3.054934,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-15T08:29:41+00:00,53.496314,-3.054934,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-15T08:49:33+00:00,53.445119999999996,-2.692904,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,True
Person search,2021-12-15T11:11:17+00:00,53.446555000000004,-2.942657,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-15T11:19:11+00:00,53.446555000000004,-2.942657,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-15T11:52:52+00:00,53.385918999999994,-3.0397380000000003,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-15T11:54:19+00:00,53.407953000000006,-2.983247,Male,18-24,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-15T12:02:40+00:00,53.4114,-2.936959,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-15T12:22:56+00:00,53.462132999999994,-2.741108,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-15T12:55:25+00:00,53.651905000000006,-3.010566,Male,25-34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-15T13:02:32+00:00,53.416655000000006,-2.943063,Male,25-34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person and Vehicle search,2021-12-15T14:07:17+00:00,53.42788,-2.972509,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-15T14:40:39+00:00,53.459446,-2.736679,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,True
Person search,2021-12-15T14:44:42+00:00,53.462132999999994,-2.741108,Male,over 34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-15T14:55:25+00:00,53.404563,-2.982401,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person search,2021-12-15T15:02:52+00:00,53.459689000000004,-2.738114,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-15T15:05:31+00:00,53.43553299999999,-2.975409,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-15T15:20:25+00:00,53.432213,-2.9801040000000003,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-15T15:21:41+00:00,53.393845999999996,-3.016923,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-15T15:36:18+00:00,53.385918999999994,-3.0397380000000003,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-15T15:43:30+00:00,53.418786,-2.989636,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-15T15:43:38+00:00,53.376585999999996,-2.969521,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person and Vehicle search,2021-12-15T15:48:06+00:00,53.601707999999995,-3.033214,Male,25-34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person and Vehicle search,2021-12-15T16:02:31+00:00,53.462132999999994,-2.741108,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-15T16:04:31+00:00,53.37996700000001,-2.9482049999999997,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-15T16:06:30+00:00,53.39048100000001,-3.0235790000000002,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-15T16:11:37+00:00,53.443681000000005,-2.9683080000000004,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Caution (simple or conditional),False
Person search,2021-12-15T16:37:00+00:00,53.424616,-2.841238,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-15T17:05:24+00:00,53.644220999999995,-3.011562,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-15T17:14:56+00:00,53.455371,-2.728401,Male,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person and Vehicle search,2021-12-15T17:27:16+00:00,53.54195,-2.6504659999999998,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Community resolution,False
Person and Vehicle search,2021-12-15T17:41:16+00:00,53.42788,-2.972509,Male,over 34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-15T17:44:03+00:00,53.438491000000006,-2.98073,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-15T18:01:38+00:00,53.327988,-3.099545,Male,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person search,2021-12-15T18:12:25+00:00,53.327988,-3.099545,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person search,2021-12-15T18:20:04+00:00,53.38303199999999,-3.024363,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-15T18:23:17+00:00,53.415002,-2.948684,Male,18-24,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person and Vehicle search,2021-12-15T18:29:12+00:00,53.327988,-3.099545,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person search,2021-12-15T18:31:25+00:00,53.403914,-2.9814990000000003,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-15T19:07:57+00:00,53.408809999999995,-2.945041,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-15T19:31:57+00:00,53.412753,-2.974556,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-15T19:36:58+00:00,53.403287,-2.9657810000000002,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-15T19:38:17+00:00,53.398253000000004,-2.9155849999999996,Male,over 34,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Caution (simple or conditional),False
Person search,2021-12-15T19:44:57+00:00,53.379932999999994,-3.099861,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person search,2021-12-15T19:48:26+00:00,53.424616,-2.841238,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-15T19:49:57+00:00,53.404365000000006,-2.976861,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-15T20:24:09+00:00,53.414213000000004,-2.922036,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Summons / charged by post,False
Person and Vehicle search,2021-12-15T20:50:51+00:00,53.427361,-2.971113,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-15T20:57:14+00:00,53.427361,-2.971113,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-15T21:16:34+00:00,53.387730000000005,-3.039316,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-15T21:36:34+00:00,53.427361,-2.971113,Male,over 34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-15T21:37:32+00:00,53.480743000000004,-2.949065,Female,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person search,2021-12-15T21:45:50+00:00,53.409801,-3.015934,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-15T21:46:03+00:00,53.646069999999995,-2.99896,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Arrest,False
Person search,2021-12-15T21:48:49+00:00,53.650014,-3.003546,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-15T22:00:31+00:00,53.418786,-2.989636,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-15T22:03:24+00:00,53.418786,-2.989636,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-15T22:22:46+00:00,53.405648,-2.987014,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-15T22:38:00+00:00,53.39295,-3.0176529999999997,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-15T22:53:22+00:00,53.401872,-2.98822,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-15T23:03:40+00:00,53.48713299999999,-2.954814,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-15T23:11:45+00:00,53.404563,-2.982401,Female,18-24,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person and Vehicle search,2021-12-15T23:36:54+00:00,53.410419999999995,-2.9773009999999998,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-16T00:02:07+00:00,53.370561,-3.011032,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T00:22:12+00:00,53.415025,-2.918112,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person and Vehicle search,2021-12-16T00:39:57+00:00,53.438649,-2.997504,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T00:44:27+00:00,53.409366000000006,-3.017368,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T00:49:29+00:00,53.41796,-3.038278,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T00:55:58+00:00,53.340001,-2.83529,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T00:59:03+00:00,53.340001,-2.83529,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T01:00:54+00:00,53.340001,-2.83529,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T01:04:05+00:00,53.342591000000006,-2.836347,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person and Vehicle search,2021-12-16T01:07:10+00:00,53.503842000000006,-2.703737,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Arrest,False
Person search,2021-12-16T01:21:15+00:00,53.339973,-2.8519759999999996,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person and Vehicle search,2021-12-16T01:26:57+00:00,53.404915,-2.9224069999999998,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T01:34:56+00:00,53.411427,-2.986005,Male,over 34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T01:37:50+00:00,53.458378,-2.732022,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-16T01:41:25+00:00,53.503842000000006,-2.703737,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-16T01:41:55+00:00,53.410731000000006,-2.98319,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-16T02:03:53+00:00,53.374491000000006,-3.0255259999999997,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Summons / charged by post,False
Person search,2021-12-16T02:28:15+00:00,53.363866,-3.051434,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person search,2021-12-16T03:21:32+00:00,53.41179,-2.986735,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T03:34:22+00:00,53.362446,-2.997932,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-16T03:34:49+00:00,53.362446,-2.997932,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T03:35:55+00:00,53.41169300000001,-2.99087,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T03:56:56+00:00,53.41179,-2.986735,Male,over 34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Summons / charged by post,False
Person search,2021-12-16T07:14:01+00:00,53.473718999999996,-3.0077130000000003,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-16T07:22:08+00:00,53.474579000000006,-3.008095,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-16T08:05:54+00:00,53.452881000000005,-2.7531,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T08:09:07+00:00,53.647994,-3.020291,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T08:15:52+00:00,53.452881000000005,-2.7531,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T08:48:26+00:00,53.388622999999995,-3.068418,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T09:13:19+00:00,53.388622999999995,-3.068418,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T09:18:27+00:00,53.462164,-2.993175,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Summons / charged by post,False
Person and Vehicle search,2021-12-16T09:18:39+00:00,53.650364,-2.986322,Male,over 34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T09:24:36+00:00,53.388622999999995,-3.068418,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T10:12:15+00:00,53.611748,-3.01653,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T10:36:17+00:00,53.476574,-2.9800709999999997,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-16T10:44:49+00:00,53.393845999999996,-3.016923,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-16T10:44:54+00:00,53.41169300000001,-2.99087,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T11:34:48+00:00,53.41169300000001,-2.99087,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T12:03:33+00:00,53.39411,-3.023892,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T12:09:10+00:00,53.394477,-3.024066,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-16T12:33:41+00:00,53.634211,-3.014348,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-16T12:59:46+00:00,53.409038,-2.985799,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-16T13:32:26+00:00,53.420995999999995,-2.8636470000000003,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person search,2021-12-16T14:02:28+00:00,53.45155,-2.732973,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person search,2021-12-16T14:03:52+00:00,53.39938299999999,-2.9815150000000004,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,True
Person and Vehicle search,2021-12-16T14:18:02+00:00,53.393845999999996,-3.016923,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Arrest,False
Person search,2021-12-16T14:46:04+00:00,53.411775,-2.987472,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-16T14:52:10+00:00,53.400943000000005,-2.8317759999999996,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Arrest,False
Person search,2021-12-16T14:57:15+00:00,53.41169300000001,-2.99087,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T15:01:39+00:00,53.41411,-2.991002,Male,18-24,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T15:04:19+00:00,53.41002099999999,-2.989808,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T15:07:37+00:00,53.452461,-2.738275,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person search,2021-12-16T15:14:26+00:00,53.41169300000001,-2.99087,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T15:23:56+00:00,53.41169300000001,-2.99087,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T15:26:26+00:00,53.41676,-2.995472,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-16T15:30:16+00:00,53.41002099999999,-2.989808,Male,25-34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T15:31:29+00:00,53.171130000000005,-3.15045,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Arrest,False
Person search,2021-12-16T15:33:47+00:00,53.401509,-2.9733509999999996,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T15:35:44+00:00,53.410731000000006,-2.98319,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T16:01:24+00:00,53.418427,-2.891522,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,True
Person and Vehicle search,2021-12-16T16:07:09+00:00,53.418427,-2.891522,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,True
Person and Vehicle search,2021-12-16T16:28:56+00:00,53.448879000000005,-2.8928979999999997,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T16:29:22+00:00,53.412218,-3.0255,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T16:30:19+00:00,53.41666800000001,-2.946043,Female,over 34,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T16:32:08+00:00,53.41666800000001,-2.946043,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-16T16:33:43+00:00,53.418786,-2.989636,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-16T16:34:26+00:00,53.411775,-2.987472,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
